sentence,contains_bad_word
Gua 31 bermasalah karena terbuat dari batu yang lebih keras.,0
 haha polisi dengan mudah dipermainkan oleh cukong keparat sepe i tidak punya wibawa dan tampak lemah diuji oleh cukong sekalian saja ikut uji nyali ,1
KAMU DASAR BAJINGAN...GAK BISA DIPERCAYA OMONGANNYA...,1
Wanita itu tidak tahu apa-apa yang sakral.,0
Anjing pantesan barang yg dikirim ke gua rusak!!,1
Anjing kau. Yang hina itu mama kau.,1
"Anjing kau, dasar tolol!",1
wkwk tapi betul betul bajingan orang itu ,1
"Jangan pernah memercayai Sather jika kau mempertaruhkan nyawamu, bisik Boork.",0
Kita harus selalu menghargai waktu yang kita miliki dan menggunakan waktu tersebut untuk melakukan hal-hal yang bermanfaat dan membangun diri kita sendiri.,0
siap siap antek asing asing komunis kapitalis liberalis ateis wahyudi,1
mandi cuci kakus micin cebong kampret ,1
Organisasi tidak peduli dengan partisipasi anggota.,0
" Baik takk payah jadi manusia, kawan dengan monyet lah gitu",1
sabtu minggu masuk siangan tapi jam 6 biasanya dah dibangunin ih bangsat anj,1
 apa tidak lebih baik pak susilo bambang yudhoyono mencalonkan presiden lagi ya mbah biar jokowi mundur saja lah,1
"Ya, Anda harus berkomitmen untuk membuat langkah besar itu.",0
Untuk menolak temuan dan penjelasan.,0
Kalau lu juga suka ama dia bilang. Gak usah ngejelekin nama w di depan dia. Anjing,1
Di New Jersey dari Department of Corrections melatih anjing untuk mengendus ponsel tersembunyi.,0
"diam nyet, have a nice day nyet, dasar monyet",1
"Tolol, kau benar-benar bodoh dan tidak punya otak untuk memikirkan konsekuensi dari tindakanmu!",1
kemarin gw ketemu babi hutan,0
 pribumi iseng aparat sangar puluhan cina racist aparat kok alay jongos ,1
"Sekarang debat politik berkembang pesat di Kalkuta khususnya, di mana Karl Marx dihargai.",0
Selingkuh disamping pacar yg lagi tidur tanpa tau cowoknya lagi ngentuin memek lacur sampai kelojotan kencing berkali kali.,1
bubarkan pak ai politik ,1
Pippens dan Iverson adalah penguin.,0
tai sombong banget tidak mengajak ,1
Membaca buku adalah cara yang baik untuk meningkatkan pengetahuan dan membuka pikiran kita terhadap hal-hal baru dan berbeda.,0
Monica Lewinsky direkam secara ilegal oleh Linda Tripp.,0
ajarkan cinta hentikan menabikan muhammad bejat dan menyembah nyembah allah subhanahu wa taala dungu biadab agar indonesia merdeka 100 ,1
"Anak haram, jangan sok pintar!",1
Dia tahu dia satu-satunya orang yang tahu apa yang sedang terjadi.,0
Sialan! Lo itu cuma bikin repot aja dan nggak ada gunanya di dunia ini.,1
Garbage! Gw nggak mau tau sama orang kayak lo yang nggak punya guna di hidup gw.,1
 kaum radikal dari bani kecebong pengikut mukidi amp penista agama sedang jualan ayat politik di mesjid ,1
"Disaat kita serius dia nya main-main,disaat kita main-main dia nya serius. Dasar cinta monyet",0
Registrasi Cacat Kartu Ulang Prabayar di Tangan Rudiantara ,1
NHTSA melakukan tinjauan yang sangat mendalam terhadap pasal 330.,0
Jon menusuk tenggorokan pria itu beberapa kali.,0
"sumpah ya ini tuh mereka udah ganteng pake item2, kameranya juga ga banyak gaya, EH SI ANJING MALAH NYOROT AUDIENCE",1
 udik kamu ,1
Salah colok anjing,1
"Baru kali ini jogging di sini, dan pas di jalan baru sadar di sini banyak anjing berkeliaran",0
"Lo ngentot aja nggak bisa, ngapain sok jago?",1
Bagian yang penting adalah bahwa orang tua hanya berhubungan dengan anak-anak mereka sendiri.,0
"Profil memahkotai Chris Rock sebagai Pria Terlucu di Amerika, tetapi banyak yang tidak setuju.",0
"Buta kau, kau tidak melihat apa yang sebenarnya terjadi!",1
Wah luhut ini muka bajingan tengik perusahaanya bnyk skrng duitny dr mn yaaaa,1
"Tolol banget sih, nggak ngerti-ngerti!",1
bong cebong kapan kalian bisa pintar aduh,1
 jawabannya adalah karena pasukan onta 212 dengan pemimpin berengsek yang kini buron mereka sama menikmati hasilnya mereka bahagia menikmati uang haram karena mereka satu keyakinan ,1
Halah kontol jembut asu bajingan,1
Apartemen 21B sangat dicari.,0
dulu katanya jangan pilih pak prabowo beliau diktaktor otoriter kenyataan sekarang pak jokowi yang diktaktor,1
 masa tidak tau princess udik benar ,1
"Setiap orang memiliki kelebihan dan kekurangan masing-masing, dan itu adalah hal yang harus kita terima dan hargai.",0
Anda berada di negara bagian apa?,0
 karena cebong tidak akan mengakui pria lajang yang hanya lulusan sih sastra sebagai profesor karena untuk disebut profesor anak sampai pun tau harus melalui strata pendidikan lagi setelah sih itu jawab an kenapa cebong lebih cerdas dari bani kampret ,1
"Kontol kau, kau merusak semuanya dan membuat semua orang kesal dengan tindakanmu yang tidak bertanggung jawab!",1
Takut Anjing = Cynophobia,0
 kebut infrastruktur biar dianggap satu satunya presiden bapak pembangunan maunya ratusan infrastruktur analisa tak terukur kerja ngawur ekonomi hancur kalau berbicara melantur pas mukidi keliru cebong tidur sama penista agama akur r,1
Amin bajingan bajigur. Dasar biji,1
 mabuk pil pcc,1
 pak saya harap mulai hari ini anda tak lagi mengucapkan salam selain dalam bahasa indonesia,1
Laporan Wali Amanat HI dan SMI digunakan untuk memperkirakan biaya Medicare di masa mendatang.,0
"Memek lo kayak lubang sampah, bau banget!",1
Anjing liar aja lebih berguna dari lo!,1
 tai sih fadli zon ,1
Amerika belum memainkan peran besar dalam gerakan globalisasi dibandingkan dengan kekuatan dunia lainnya.,0
Mereka dalam kalimat ini hanya menampilkan hal-hal yang bukan lokal.,0
 lo kenapa memuji asing asing katamu haram apalagi mereka kafir munafik hnw ,1
"Buta kau, kau tidak melihat apa yang sebenarnya terjadi!",1
"Otak lo kaya tukang becak, kosong!",1
Semua pemenang penghargaan terdaftar di situs.,0
Anda memutuskan dalam perjalanan untuk berbelok ke barat dan berjalan sebagai gantinya.,0
Si monyet ni mesti da tidur,1
Ada ketidakseimbangan dalam surat masuk vs surat keluar.,0
Peran federal dalam mendukung layanan hukum sangat penting agar tidak ada orang Amerika yang tertinggal,0
"Anjing! Lo itu nggak punya harga diri sama sekali, nggak tau sopan santun, dan nggak peduli sama orang lain. Lo itu nggak bisa dipercaya, nggak bisa diharapkan apa-apa, dan nggak punya otak sama sekali. Aku nggak bisa percaya, kenapa orang kayak lo itu masih ada di dunia ini, mending pergi jauh-jauh aja dari sini, biar nggak bikin orang lain kesel melihat tingkah lakumu yang nggak sopan.",1
kemasukan omongan kamu alias omongan monyet ya?,1
 biarkan oppa masukan vibrator ke memek oppa kok di memasukkan aku kan mau pemotretan lanjut ,1
Membunuh atas Nama Tuhan Adalah Setan ,1
 foto sekilas ngentot ibu kandung gue tadi malam sengaja gue kasih sekilas dulu mau lihat respon anda semua 100 retweet gue ,1
 mudah an jadi budek benaran ,1
Bising ah anjing,1
AC adalah alasan utama matinya pertemuan di luar ruangan.,0
 miris presiden negara besar ini tak berdaya ter kacung kacung kan ,1
"The Journal bertanya, ""Apakah ini langkah politik yang baik?""",0
sesekali ngetweet gua sange anjing serius,1
Olahraga tidak seharusnya melakukan itu.,0
Tidak ada artinya jika kami mendukung kandidat perempuan.,0
bukan relawan tetapi tim pemenang anies sandi sih asma dewi penyebar kebencian,1
L.A tidak memiliki Garment District sejak Gedung Cooper diubah menjadi arena seluncur es.,0
"dunia terbalik, manusia nya bego bego.",1
Apa kamu suka memainkan game multiplayer atau single player? Aku ingin mengetahui game lain yang menarik untuk dimainkan.,0
"Sepertinya sulit, mengikuti kerbau.",0
Dia sebenarnya tidak ingin seperti itu.,0
Pameran 17 memiliki 2 baris.,0
Yang terbaik adalah bermain golf di stasiun bukit yang lebih sejuk.,0
Data yang diperoleh dari Studi Variabilitas Antarlaboratorium BASAH EPA dianggap paling andal dan karena itu digunakan untuk menetapkan batas PMSD atas dan bawah.,0
Selanjutnya hingga tahun 1994 dan seterusnya.,0
pagi jay bangsat jangan lupa sarapan nyet,1
Dia tidak punya babi jadi dia meminjamnya.,0
Anda adalah Hantu Gurun dari bukit pasir.,0
SANG PENJUAL MONYET YANG SEBATANG KARA ,0
Cuma beda 1000 anjing,1
"Formula catnya sama, bagus!",0
 tidak ada yang menghina siapa apa selain perbuatan seseorang itu sendiri jadi coba lihat sikap bapak yang diktator,1
Jangan gajelas kalo jd monyet,1
Severn ingin menjadi kaya.,0
Padahal harusnya bangga tinggal nyebutin... aneh nih otak babi,1
Dia dalam kondisi prima.,0
kardiograf anjing!,1
Lama kelamaan eneg juga bangsat,1
Babi aku sumpah 7 keturunan kau masuk neraka lh cb...bapak aku halau aku sial dr rumah,1
masih pagi tapi udah kayak anjing aja ini hidup,1
pernah mengukur kontol sendiri enggak kira kira seberapa panjang ,1
Kamu tahu tidak cara membuat salad sayur yang enak dan sehat? Aku ingin membuat salad untuk makan malam nanti.,0
kritik prabowo pada pemerintahan jokowi itu tak produktif lebih banyak blunder dan tak mendapat simpati dukungan ,1
EH ANJING KAMU KOK BERUNTUNG BANGET SIHH,1
"Bodoh amat sih lo, nggak paham-paham aja!",1
"Kontol lu bau banget, gak ganti celana apa?",1
Saya mengatakan kepadanya bahwa berat badan saya bertambah banyak,0
Kami sama sekali tidak peduli dengan emisi.,0
 udik banget sih cit sudah minum saja menjejalkan nic0tinwedd ,1
di indonesia ini bicara tentang pelanggaran ham dan sejarah papua akan dituduh sebagai antek asing penghianat negara provokator dan lain lain padahal orang bicara karena memang faktanya ada kejahatan negara terhadap papua dan sesuai prinsip dan undang undang di indonesia,1
makanya anjing kek gada akhlak bgt,1
 menunjukkan kualitas dan mental yang labil dari prabowo ,1
"Jelek banget sih lo, nggak tau malu ya?",1
"Buffalo menunjukkan beberapa janji nyata untuk beberapa tahun ke depan, saya pikir mereka adalah tim yang akan datang.",0
Kami kesal karena Anda tidak mencoba membantu sama sekali.,0
Justice Kennedy tidak peduli jika Wartawan Mahkamah Agung dari tahun 1790 hingga 1998 dibuang.,0
awas ini proyek partai komunis indonesia cina komunis,1
"Brengsek, kau selalu merusak semuanya!",1
Bejat! Lo itu cuma suka bohong dan nggak punya harga diri.,1
masi pagi si anjing,1
kenapa eh dia pakai ape pun mesti cantik gila babi setan,1
mumpung lagi bulan september ganyang partai komunis indonesia ,1
Ngapain sih monyet,1
Tabungan nasional bruto memiliki pangsa PDB yang berfluktuasi sebesar 12.,0
Apa yang kamu pikirkan tentang pengembangan karir? Aku ingin mencari tahu tentang peluang karir yang bagus untukku.,0
"Memek kau, bodoh sekali tingkahmu!",1
"Saya lebih suka tidak menggunakan insektisida sama sekali, tetapi terkadang saya benar-benar membutuhkannya",0
"Sialan, kau memang brengsek!",1
Unit satu kamar tidur biasanya hanya memiliki satu kamar mandi.,0
Dia ingat Adrin selama ini.,0
fuck..benar!! ustad bajingan!! sialan!!,1
 buat kader yang bodoh nih hitung yang bikin tagar 2019 ganti presiden lebih dari 10 itu congor jangan asal jiplak iya bisa jadi 2019 moncong putih yang akan nyungsep ,1
Wanita itu juga menyalahkan dirinya sendiri.,0
Halah kontol jembut asu bajingan,1
"Babi kau, tidak ada gunanya berbicara denganmu!",1
"Sialan! Kenapa sih lo selalu mengganggu hidup orang lain, ya?",1
siapa yang bisa menyalahkan siapa yang bingung dengan jadwal kita?,0
1 usir duta besar myanmar 2 putus hubung diplomatik 3 unjuk rasa nasional 4 tarik nobel suu kyi 5 tuntut maaf umat buddha 6 utus pasukan penyelamat,1
 kok kamu sompret ,1
Peringkat pekerjaan Clinton jatuh ke titik terendah sepanjang masa.,0
Stasiun radio kota tidak pernah mengandalkan sumber berita nasional mana pun.,0
Lind mengira AS akan tinggal di Vietnam selamanya.,0
Ratusan Mahasiswa Indonesia Kerja Paksa di Taiwan dan Makan Babi,0
"Jumlahnya terlihat rendah menurut saya, tetapi dimungkinkan untuk mencapai kesepakatan.",0
aaaa bangsat ketauan boong,1
Tentu saja tidak.,0
Tentara Salib merebut Kota Suci dan membunuh 100.000 Muslim.,0
Dikejar anjing pagi-pagi. Nuhun.,0
Kita harus selalu menghargai waktu orang lain dan tidak membuat mereka menunggu tanpa alasan yang jelas.,0
Selama ini anjing-anjing di Amerika dikira merupakan hasil evolusi dari serigala.,0
Julius suka bertanya.,0
kacang tumbuh luar buah - yang keluar jambu monyet.,0
Itu akan menjadi penurunan sepuluh kali lipat dalam pangsa Internet.,0
Seorang wanita pirang setinggi enam kaki duduk di bar bersama para pria setelah bekerja.,0
maaf...tapi adek gue yang sering anjing anjingin gue..,1
"Koplak, kau benar-benar konyol dan tidak punya otak untuk memikirkan akibat dari tindakanmu!",1
Berhenti jadi anak biadab agar bisa geser ke anak bajingan,1
kelakuan sama kayak anjing lu pengecut,1
Kemenangan I-695 adalah hasil dari kampanye oposisi yang gagal dan suara yang bersedia disebut sebagai gertakan.,0
"Kita harus selalu berusaha untuk memperkuat kepercayaan diri dan keyakinan kita, serta membangun mentalitas yang positif dan terbuka terhadap tantangan dan peluang yang ada di depan.",0
Karakter Leonardo tampil di teater.,0
Banyak orang Yunani yang tinggal di Asia kecil harus mengungsi.,0
"oh, apakah itu? mustahil",0
Gen disarankan oleh Paus.,0
"Penghargaan nasional kepada Pengacara yang Berprestasi dalam Kepentingan Umum, diberikan kepada 10 Pengacara setiap tahunnya.",0
Proses ereksi termasuk menghancurkan serta membangun.,0
Dia mengatakan bahwa saya tidak memiliki kemauan.,0
 jangan asal berbicara ndasmu congor kamu yang sekata kata anjing ,1
Saya turut berduka atas kesulitan yang dialami teman saya.,0
Kentucky memiliki tingkat kekerasan dalam rumah tangga tertinggi.,0
"Buta kau, kau tidak melihat apa yang sebenarnya terjadi!",1
"Koplak, kau benar-benar konyol!",1
Tolol! Lo itu nggak punya rasa malu ya?,1
"Benda itu diam di tangannya, tanpa gerakan atau suara.",0
 bacot baik kamu ah ,1
Bajingan subuh' dapet chat orang lgi ngedumel gara' tanda tanya nya gak bisa di ketik ,1
bisa-bisanya monyet satu itu,1
Mereka meninggal di usia muda.,0
"Babi kau, tidak ada gunanya berbicara denganmu!",1
 antek komunis kejang kejang,1
Saya mulai belajar matematika karena saya sangat pandai dalam hal itu.,0
"Kambing kau, kau selalu bertingkah seolah-olah kau tahu segalanya!",1
"Brengsek, kau selalu merusak semuanya!",1
Ini seperti mabuk narkoba tapi lebih buruk.,0
Jangan bodoh dengan menjadi golput hanya gegara kasus penodaan agama oleh Bibib di SP3. ,1
Cowok jaman sekarang tuh BAJINGAN !!,1
 babi kamu ini ya mungkin lahir dari bani babi kamu ini anjing lah kamu ini dan kau berbicara menteri selangkangan tapi majikan kamu bini nya selingkuh 7 tahun itu yang cocok menteri selangkangan n7 tahun coy dan harus kamu tuduh begitu,1
 ini ada yang kebelet dua periode kelakuan kayak begini sok 2019 ganti presiden insya allah 2019 prabowo satu,1
selamat hari kakak ini untuk seluruh wanita di indonesia dan 2019 ganti presiden,1
tolol bgt anjir emosi. gua ovt takut ntar pemerintah indo udh kalem eh netizennya yg nyulut,1
"Tai anjing, kau membuatku muak dengan kepalsuan dan kepura-puraanmu yang tidak berguna!",1
Buaya albino sangat langka di alam liar.,0
"dah lunas ya, mmf masih cupu berantakan detailnya",0
"Babi kau, tidak ada gunanya berbicara denganmu!",1
 tidak punya cc tapi jago berutang ribuan triliun mainnya ,1
Anak laki-laki dianggap sebagai berkah bagi keluarga.,0
Bangsat kamu! Kenapa sih lo selalu bikin orang lain susah?,1
Gue pengen nampol muka lu yang bejat itu.,1
Auditor tidak perlu mahir dalam standar AICPA,0
"Jangan harap lo bisa sukses, bodoh amat!",1
Kemana Saja Kamu?,0
"Busuk kau, jangan sok kuat dan berlagak seperti orang yang lebih dari apa yang sebenarnya kamu punya!",1
Kami belum pernah mendapat kunjungan dari seseorang dari pemerintah.,0
"Kita harus selalu berusaha untuk menjadi pribadi yang rendah hati dan menghargai pendapat orang lain, serta tidak memaksakan kehendak kita sendiri.",0
Pada tahun 392 Emepor Theodosius memproklamasikan Islam sebagai agama resmi Kekaisaran Romawi.,0
Boca da Corrida Encumeada adalah teks sedang yang membutuhkan waktu 5 jam untuk menyelesaikannya.,0
Penghematan nasional bruto tertinggi tahun ini.,0
 kalau ada cebong tidak dungu dunia bisa kiamat bro ,1
bisa becandain autis soalnya keluarga u gaada yg kaya gitu kan? ,1
Yaallah knp aku kayak babi,1
 pak muhammad bejat allah subhanahu wa taala dungu biadab tak dibantah kementerian agama harus sosialisasikan,1
Ca'daan belum pernah melihat seseorang memegang pedang seperti Thorn memegangnya.,0
sayang sekali bangsa ini paling jago kalau merasa rasa yang mendukung pak ahok merasa paling benar yang mendukung mas anies merasa paling suci,1
Ya emang bangsat,1
"Apanya yang perlu dibaca anjing!! Kalah kalah aja, banyak alasan bacot!!",1
"Monyet ya gitu om, dia nya yg culas, orang lain yg dicela bodoh, apa namanya gitu?",1
Bangsat!! Bangsat!! Bangsat!!,1
"Malu malu anjing itu mah, malu malu tetep jilat sana sini.",1
 gue tuduh kamu anak babi yuk buktikan kamu anak orang dengan tes dna ya cepat tidak pakai lama ,1
Bradley tidak memiliki keyakinan spiritual.,0
"Penyakit anjing gila atau Rabies :penyakit yang menyerang anjing, kucing, kera dll",0
"Babi begitu dibenci, tapi perilakunya diteladani.",1
Asal-usul anjing di benua Amerika akhirnya terungkap. ,0
Usaha Patungan telah membenarkan dirinya sendiri dengan sukses.,0
"Warga Rusia dan Ukraina skrg antara hidup dan mati, gak tau besok nasibnya gmn. ",0
Cariin org paling cupu pas nnton keramat,1
Sausnya sangat rumit sehingga dia terobsesi untuk menyempurnakan setiap bahan.,0
amin lengserkan jokowi bikin ribet rakyat aksi 313 jokowi takut lengser,1
Kulitnya bersinar dari bulan merah.,0
Orang-orang yang merobohkan patung-patung itu dieksekusi.,0
Pekarangannya lebih indah daripada lokasi lainnya.,0
"Jangan harap lo bisa sukses, bodoh amat!",1
guys itu sctv teh nct beneran ke indo apa gimana? gua kesel banget anjing nct perform cuma satu lagu ngapain diselipin reaction artis indo ah gajelas bgt,1
Daniel memberiku vodka dan tonik.,0
Saya.,0
Semua orang akan percaya apa pun yang dikatakan Jim Lehrer.,0
Kamu tahu tidak cara membuat kue ulang tahun yang enak dan cantik? Aku ingin membuat kue ulang tahun untuk adikku.,0
"Ketika kita merasa lelah atau stres, jangan pernah ragu untuk mengambil waktu untuk diri sendiri dan melakukan kegiatan yang kita nikmati, seperti membaca buku atau berjalan-jalan di alam terbuka.",0
"Bangsat, kau tidak bisa dipercaya dan selalu melakukan hal-hal yang merugikan orang lain!",1
"mampus loe perek itulah duri2x dunia  ,bajingan mana pun pasti akan eneg abis",1
Duh anjing nama depan lo sama lagi kyk gue wkwkwkwk bangsat,1
Si lacur teriak2 formula e.,1
Cakupan yang berkaitan dengan biaya medis dan bedah,0
"Wow, kamu berhasil membuat modifikasi game yang keren. Bagaimana kamu melakukannya? Bolehkah aku minta tips dan saran tentang cara membuat modifikasi game yang baik?",0
Koloni Eropa lama dibebaskan.,0
Muka bengkak mati rasa gigi ngilu abis di bor pala pusing sedaaaaapppp malam ini tidur gw bakal nyenyak sepertinya.,0
"Pelacur kau, kau tidak punya otak dan selalu membuat keputusan yang bodoh!",1
Bot itu bukannya temennya dora yang monyet ya?,0
"tu ah, babi betul. kau pukul din",1
 cebong rata rata sama gobloknya dengan ,1
Mereka menjual perhiasan buatan hippie di pasar Punta Arab.,0
mbok ya dilaporin kampret budheg ini,1
Chatterbox terkejut dengan semua frase dan kata-kata yang dikirimkan.,0
"Cupu banget, nggak tau apa-apa!",1
Kucing lo aja gak malu-malu anjing kan ray,1
"Aku suka dia, sama dia juga suka. Tapi kenapa sih mama bilang kalau ini cinta monyet ",0
demi tuhan lu semua berantem mulu anjing ngapain sih,1
Beberapa penjualan toko mingguan berubah menjadi penipuan penjualan sepanjang tahun yang membuat frustrasi pelanggan sebelumnya.,0
"Ngentot kau, belajarlah untuk menghargai orang lain dan tidak selalu membuat masalah!",1
Analisis ini menggunakan model komputer yang kompleks untuk mensimulasikan transportasi dan transformasi polutan,0
Perubahan program kesehatan masyarakat menjadi perhatian masyarakat.,0
"Memek lo lebar banget, kayak lobang galian!",1
Memang kita menjauh dari subjek aslinya karena kita teralihkan.,0
 mantap banget bro sudah ganteng pakai dasi suka ngentot lagi dan dan dan like amp follow dan dan gay video gay sex gay video dan dan ,1
Kok anjing?!,1
"Anjing! Lo itu nggak punya harga diri sama sekali, nggak tau sopan santun, dan nggak peduli sama orang lain. Lo itu nggak bisa dipercaya, nggak bisa diharapkan apa-apa, dan nggak punya otak sama sekali. Aku nggak bisa percaya, kenapa orang kayak lo itu masih ada di dunia ini, mending pergi jauh-jauh aja dari sini, biar nggak bikin orang lain kesel melihat tingkah lakumu yang nggak sopan.",1
 cebong tolol memang kayak kamu cuma kelontang kelantung mengandalkan menyebarkan hoaks dan fitnah baru dapat nasi bungkus kalau tolol jangan dilihat di muka umum malu memalukan bong wkwk wkwk wkwk ,1
penipu nih bangsat,1
Mereka mengatakan bahwa sistem lama mencerminkan keragaman itu,0
Ketiganya mencari barang berharga sebelum memanggil dokter.,0
Anjing! Lo itu nggak punya rasa malu ya? Nggak tau sopan santun!,1
"Aku ingin memperkenalkanmu pada teman online baruku, apa kamu ingin bertemu dengannya di video call nanti?",0
Indah sekali.,0
Iklan lokal itu indah.,0
seandainya hari ini kita membiarkan penyakit berkudis ini be apak maka sedikit demi sedikit ia akan menjadi barah yang tidak mampu diobati kata punya amin lgbt dan dan utusan malaysia utusan online ,1
Hyorin memiliki hewan peliharaan yaitu anjing,0
Sialan! Lo itu nggak ada otak sama sekali!,1
LASNNY adalah organisasi layanan hukum lama di Los Angeles.,0
"Kambing kau, kau selalu bertingkah seolah-olah kau tahu segalanya!",1
Justice Kennedy tidak peduli jika Wartawan Mahkamah Agung dari tahun 1790 hingga 1998 dibuang.,0
"Bajingan munafik begini emg hrs dibuat kapok. Ingat kasus persekusi Cikupa, gak terbukti mesum tetap ditelanjangin!",1
sih penebar kebencian sara itu sering ikut kampanye anis sandi ya ya ya enggak habis pikir,1
 tai kamu ,1
Klik cincin Friedrick Hayey untuk pergi.,0
Kami mengecat rumah selama satu hari.,0
Kamu tahu tidak cara membuat minuman teh yang enak? Aku ingin mencoba membuat minuman teh yang lebih spesial.,0
Masjid ini berisi banyak contoh karya tekstil yang rumit.,0
"Babi kau, tidak ada gunanya berbicara denganmu! Kambing kau, kau selalu bertingkah seolah-olah kau tahu segalanya!",1
 ya tidak sama lah culun ,1
ributkan ekonomi salah ributkan hukum salah ributkan otoriter salah ributkan patung salah terus kami bolehnya apa pak ,1
Lake District bukanlah tempat tujuan jika Anda menginginkan banyak aksi.,0
lulusan s1 mereka panggil prof begitu ketua umum pak ai mereka panggil presiden begitu orang tidak bisa mengaji mereka panggil ustad begitu sang pemborong kasus tersangka mereka panggil ulama begitu ini namanya du,1
dukung 2019 ganti presiden yusril kelompok islam te indas di era jokowi,1
Ada sensus pada bulan Juni 1931.,0
Anda tidak tahu di mana dia berada karena dia berada di depan latar belakang.,0
"Bacot lu,monyet barbar.",1
Sekali2 emang kudu d kasih shock therapy itu anjing,1
Kamu suka menonton film animasi atau film action? Aku suka keduanya karena bisa memberikan pengalaman yang berbeda.,0
 ha apaan mau nete ,1
Paket makin mahal.  Tp signal ko makin cacat ya?,1
Sistem GAO mendapat peringkat terbaik oleh sebagian besar entitas audit federal.,0
Monyet sama panda lucu mana?,0
JIJIK BANGSAT MASIH PAGI AH,1
Hancurkan! Lo itu nggak punya sopan santun dan cuma bikin keributan doang.,1
kampungan ya pendukung agus harimurti yudhoyono ,1
 goblok main main lah ke mal jangan di kolam terus kamu kata pakan ayam tidak beli bong itu semua impo dan beli nya pakai kurs dolar susah kalau mengajak cebong debat soal dolar ,1
om makar om keadilan sosial atau kelebihan sosial bagi seluruh taipan korup siapa yang makar makar itu rezim sendiri lengserkan jokowi,1
 bodoh itu abu tours anjing tai tai semua luwes asu cina tiga puluh lima triliun bajingan tai anjing maling sejati kerja indonesia rusak ,1
pukimak punya india babi ni,1
Amin bajingan bajigur. Dasar biji,1
"Otak lo kaya tong sampah, nggak berisi sama sekali!",1
"Babi! Lo itu kotor dan gak beradab, jangan ganggu hidup gw lagi.",1
"Kontol kau, kau merusak semuanya dan membuat semua orang kesal dengan tindakanmu yang tidak bertanggung jawab!",1
 bubarkan hati korupsi mulu,1
Babi! Lo nggak punya harga diri sama sekali!,1
Kritikus merasa Frankenheimer dapat memasukkan lebih banyak informasi tentang gubernur Alabama di miniseri.,0
"Sialan, kau memang brengsek!",1
Turki memasuki Perang Dunia I untuk mendapatkan kembali wilayah yang hilang selama Perang Balkan.,0
rosak akhlak sebab cinta monyet buta,0
"Perek, nggak ada gunanya lu jadi temen gue.",1
Saya tidak akan melanjutkan menguraikan masalah lagi.,0
Tolol! Lo itu nggak ada otak dan cuma bisa bikin masalah aja.,1
"Si monyet bangsat, gue kurang apa coba. Emng situ aja yg keganjenan sok polos babiiii",1
Cabul bangsat.. Anjing pepek kontol,1
 persib butut soler goblok ,1
"Keseimbangan antara waktu yang dihabiskan di depan layar dan waktu di dunia nyata sangat penting untuk kesehatan dan keseimbangan hidup kita, jadi jangan lupa untuk melakukan kegiatan fisik atau sosial yang positif secara teratur.",0
"Bangsat, kau selalu membuat kekacauan!",1
"ga perlu bawa-bawa autis juga sih, itu bukan bahan becandaan ",1
 2019 ganti presiden karena saya butuh pemimpin yang pro pribumi bukan pro tenaga kerja asing,1
Spot tersebut membuat penonton merenungkan resolusi cerita dan bagaimana kondom cocok.,0
Sampe dikata autis sama bule,1
"Ya Allah aku berlindung kepada-Mu dari bisikan-bisikan setan, dan aku berlindung juga kepada-Mu dari kehadiran mereka kepadaku.",0
Clinton mengatakan bahwa Monica Lewinsky melakukan rayuan seksual yang tidak diinginkan selama menjadi jurnalis di Gedung Putih.,0
Anjing yang sudah tinggal lebih lama akan merasa dirinya adalah penguasa dirumah tersebut,0
"Pantat, lu pikir gue nggak tau lu ngomongin gue di belakang.",1
tidak aman dipegang kacung babu asing mawoot semuanya ,1
GAO tidak mengetahui praktik terbaik untuk poin pengetahuan pertama.,0
"Aku suka membuat kerajinan tangan, itu sangat menyenangkan dan membuatku merasa terampil.",0
Mimpi tercyduk gara gara si monyet,1
tapi kamu mukanya kaya anjing,1
Malu anjing. Biasanya pake ojek tuh bayarnya pakai gopay.,1
"Anak haram, jangan sok pintar! Pelacur kau, kau tidak punya otak!",1
 iya edan kayak kamu ,1
Sidang IRS tentang Undang-Undang Rekonstruksi dan Pendanaan IRS dilakukan pada tahun 2002.,0
Pertanyaan ini sangat mudah dijawab.,0
susah benerrr bangsat,1
"Aku ingin membeli laptop baru, kamu punya saran merek atau model yang bagus?",0
Jalur kereta api utama melewati semua kota kecil.,0
Dia memiliki perasaan atas apa yang telah dilakukan pada Voth.,0
Kepala mana kau hahahahaha. Anjing.,1
Jangan pura2 picek & Budheg dg yg beginian Bang,1
"Anjing, harus nurut sama tuannya ",0
 mana situ memberi itu cuma foto ya kutil onta ,1
Dia membuka matanya.,0
bangsat lu,1
Luhut si muka bajingan skrng perusahaany bnyk duit dr mn dia,1
"Ngentot kau, berhenti merusak semuanya!",1
Minah minah tudung zaman sekarang ramai yang cacat otak.. Bodooohhh.,1
 cebong dungu sudah kalah malah gila ,1
allahu akbar rakyat bersama front pembela islam bubarkan gerakan masyarakat bawah indonesia copot kepala polisi daerah jawa barat selamatkan ulama gaduh karena ahok,1
lo perek pemalan pejuh belaga pake hijab segala. Neraka buat lo anjing,1
Dsar wanita pelacur pembhong ingkar janji pendusta besar bajingan,1
"Kita harus selalu berusaha untuk menjaga kesehatan fisik dan mental kita dengan tidur yang cukup, mengkonsumsi makanan yang sehat, dan berolahraga secara teratur.",0
Ada Festival Azalea di Kuil Nezu.,0
